ScenarioId,Date,Hour,ZoneId,LMP,Energy,Congestion,Losses
1,1/31/2022,4,90001,0.016718,0.016930999,0,-0.000213
1,1/31/2022,5,90001,0.019229,0.019461,0,-0.000232
1,1/31/2022,6,90001,0.025588,0.025922,0,-0.000334
1,1/31/2022,7,90001,0.033759002,0.037620999,-0.003298,-0.000564
1,1/31/2022,8,90001,0.038249999,0.037296999,0.001542,-0.000589
1,1/31/2022,9,90001,0.037616,0.03669,0.001403,-0.000477
1,1/31/2022,10,90001,0.036279,0.033992998,0.002667,-0.000381
1,1/31/2022,11,90001,0.036141001,0.033815999,0.002657,-0.000331
1,1/31/2022,12,90001,0.035891,0.033608001,0.002592,-0.000309
1,1/31/2022,13,90001,0.034926999,0.032852001,0.002417,-0.000342
1,1/31/2022,14,90001,0.033608001,0.032246001,0.001719,-0.000358
1,1/31/2022,15,90001,0.032400999,0.031546999,0.00122,-0.000366
1,1/31/2022,16,90001,0.032370001,0.031394999,0.001343,-0.000367
1,1/31/2022,17,90001,0.033838999,0.032357998,0.001879,-0.000398
1,1/31/2022,18,90001,0.038451001,0.035684999,0.003144,-0.000378
1,1/31/2022,19,90001,0.040477,0.039340001,0.00146,-0.000323
1,1/31/2022,20,90001,0.040056001,0.03723,0.003094,-0.000268
1,1/31/2022,21,90001,0.039384,0.036508001,0.003222,-0.000347
1,1/31/2022,22,90001,0.036578,0.034154002,0.002748,-0.000324
1,1/31/2022,23,90001,0.033301,0.031994,0.001659,-0.000352
1,1/31/2022,24,90001,0.029720001,0.028522,0.001506,-0.000308
1,1/31/2022,1,90002,0.017235,0.017377,0,-0.000142
1,1/31/2022,2,90002,0.015900999,0.016034,0,-0.000133
1,1/31/2022,3,90002,0.016116999,0.016267,0,-0.00015
1,1/31/2022,4,90002,0.016775001,0.016930999,0,-0.000156
1,1/31/2022,5,90002,0.019269999,0.019461,0,-0.000191
1,1/31/2022,6,90002,0.025634,0.025922,0,-0.000288
1,1/31/2022,7,90002,0.031369001,0.037620999,-0.005586,-0.000666
1,1/31/2022,8,90002,0.030551,0.037296999,-0.006142,-0.000604
1,1/31/2022,9,90002,0.029618001,0.03669,-0.006496,-0.000576
1,1/31/2022,10,90002,0.029909,0.033992998,-0.003578,-0.000506
1,1/31/2022,11,90002,0.029809,0.033815999,-0.00352,-0.000487
1,1/31/2022,12,90002,0.029713999,0.033608001,-0.00342,-0.000474
1,1/31/2022,13,90002,0.029351,0.032852001,-0.00309,-0.000411
1,1/31/2022,14,90002,0.029464999,0.032246001,-0.00235,-0.000432
1,1/31/2022,15,90002,0.029271999,0.031546999,-0.001811,-0.000464
1,1/31/2022,16,90002,0.029131999,0.031394999,-0.001868,-0.000396
1,1/31/2022,17,90002,0.029384,0.032357998,-0.002538,-0.000437
1,1/31/2022,18,90002,0.030890999,0.035684999,-0.00419,-0.000603
